Artist,Position,Title,Year
The Crests,26,16 Candles,1959
Brook Benton,27,It's Just a Matter of Time,1959
Connie Francis,28,Lipstick On Your Collar,1959
The Drifters,29,There Goes My Baby,1959
Elvis Presley,30,A Big Hunk O' Love,1959
Johnny & The Hurricanes,31,Red River Rock,1959
Stonewall Jackson,32,Waterloo,1959
Sammy Turner,33,Lavender Blue (Dilly Dilly),1959
Elvis Presley,34,(Now and Then There's) A Fool Such As I,1959
The Virtues,35,Guitar Boogie Shuffle,1959
Sandy Nelson,36,Teen Beat '65,1959
Edward Burns & Connie Stevens,37,"Kookie, Kookie (Lend Me Your Comb)",1959
Thomas Wayne,38,Tragedy,1959
Connie Francis,39,My Happiness,1959
Freddie Cannon,40,Tallahassee Lassie,1959
Fabian,41,Tiger,1959
Ricky Nelson,42,Never Be Anyone Else But You,1959
Della Reese,43,Don't You Know,1959
Elvis Presley,44,I Need Your Love Tonight,1959
Dinah Washington,45,What a Difference a Day Made,1959
Bill Parsons,48,The All American Boy,1959
Jerry Wallace,47,Primrose Lane,1959
David Seville and The Chipmunks,48,Alvin's Harmonica,1959
David Seville & The Chipmunks,49,Alvin's Harmonica,1959
Andy Williams,50,Lonely Street,1959
Ray Charles,51,"What'd I Say, Pts. I & 2",1959
Sarah Vaughan,52,Broken Hearted Melody,1959
Franck Pourcel,53,Only You (And You Alone),1959
Billy Grammer,54,Gotta Travel On,1959
The Coasters,55,Poison Ivy,1959
Fabian,56,Turn Me Loose,1959
Jackie Wilson,57,Lonely Teardrops,1959
Andy Williams,58,The Hawaiian Wedding Song (Ke Kali Nei Au),1959
Duane Eddy,59,Forty Miles of Bad Road,1959
Frankie Avalon,60,Just Ask Your Heart,1959
Travis and Bob,61,Tell Him No,1959
Connie Francis,62,Frankie,1959
The Bell Notes,63,I've Had It,1959
Lavern Baker,64,I Cried a Tear,1959
The Platters,65,Enchanted,1959
The Skyliners,66,Since I Don't Have You,1959
Ray Anthony,67,The Peter Gunn Theme,1959
David Seville and The Chipmunks,68,The Chipmunk Song,1959
Fats Domino,69,I Want To Walk You Home,1959
Frankie Avalon,70,Bobby Sox to Stockings,1959
Wink Martindale,71,Deck of Cards,1959
Clyde Mcphatter,72,A Lover's Question,1959
The Flamingos,73,I Only Have Eyes For You,1959
Ricky Nelson,74,It's Late,1959
Chris Barber's Jazz Band,75,Petite fleur,1959
Annette Funicello,76,Tall Paul,1959
Kingston Trio,77,Tijuana Jail,1959
Ricky Nelson,78,Just a Little Too Much,1959
Jack Scott,79,Goodbye Baby,1959
The Coasters,80,Along Came Jones,1959
Tommy Dee & Carol Kay,81,Three Stars,1959
Frankie Avalon,82,A Boy Without a Girl,1959
Ricky Nelson,83,Sweeter Than You,1959
Skip & Flip,84,It Was I,1959
Kathy Linden,85,Goodbye Jimmy Goodbye,1959
Reg Owens Orchestra,86,Manhattan Spiritual,1959
Brook Benton,87,Endlessly,1959
Guy Mitchell,88,Heartaches By the Number,1959
Frankie Ford,89,Sea Cruise,1959
Jackie Wilson,90,That's Why (I Love You So),1959
The Falcons,91,You're So Fine,1959
Bobby Rydell,92,Kissing Time,1959
Elvis Presley,93,My Wish Came True,1959
Ivo Robic,94,Morgen,1959
Jan & Dean,95,Baby Talk,1959
Preston Epps,96,Bongo Rock,1959
The Everly Brothers,97,Take A Message To Mary,1959
Mormon Tabernacle Choir,98,Battle Hymn of the Republic,1959
Ernie Fields Orchestra,99,In the Mood,1959
Paul Evans & The Curls,100,Seven Little Girls Sitting In The Back Seat,1959
Percy Faith,1,Theme from a Summer Place,1960
Jim Reeves,2,He'll Have to Go,1960
Everly Brothers,3,Cathy's Clown,1960
Johnny Preston,4,Running Bear,1960
Mark Dinning,5,Teen Angel,1960
Brenda Lee,6,I'm Sorry,1960
Elvis Presley,7,It's Now or Never,1960
Jimmy Jones,8,Handy Man,1960
Elvis Presley,9,Stuck On You,1960
Chubby Checker,10,The Twist,1960
Connie Francis,11,Everybody's Somebody's Fool,1960
Bobby Rydell,12,Wild One,1960
The Brothers Four,13,Greenfields,1960
Jack Scott,14,What In The World's Come Over You,1960
Marty Robbins,15,El Paso,1960
The Hollywood Argyles,16,Alley-Oop,1960
Connie Francis,17,My Heart Has a Mind of Its Own,1960
Brenda Lee,18,Sweet Nothin's,1960
Brian Hyland,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1960
Roy Orbison,20,Only the Lonely,1960
Dion & The Belmonts,21,Where or When,1960
Connie Stevens,22,Sixteen Reasons,1960
Paul Anka,23,Puppy Love,1960
Frankie Avalon,24,Why,1960
The Ventures,25,Walk Don't Run,1960
The Drifters,26,Save the Last Dance for Me,1960
Brook Benton & Dinah Washington,27,Baby (You've Got What It Takes),1960
Johnny Horton,28,Sink the Bismark,1960
Sam Cooke,29,Chain Gang,1960
Everly Brothers,30,Let It Be Me,1960
Jimmy Jones,31,Good Timin',1960
Bobby Darin,32,Beyond the Sea,1960
Jimmy Clanton,33,Go Jimmy Go,1960
Jackie Wilson,34,Night,1960
Jack Scott,35,Burning Bridges,1960
Toni Fisher,36,The Big Hurt,1960
Duane Eddy,37,Because They're Young,1960
Conway Twitty,38,Lonely Blue Boy,1960
Steve Lawrence,39,Pretty Blue Eyes,1960
Freddie Cannon,40,Way Down Yonder in New Orleans,1960
Anita Bryant,41,Paper Roses,1960
Larry Verne,42,Mr. Custer,1960
Brenda Lee,43,I Want to Be Wanted,1960
The Fendermen,44,Mule Skinner Blues,1960
Johnny Preston,45,Cradle of Love,1960
Marv Johnson,46,You Got What It Takes,1960
Hank Locklin,47,"Please Help Me, I'm Falling",1960
Rod Holden,48,Love You So,1960
Hank Ballard and The Midnighters,49,Finger Poppin' Time,1960
The Platters,50,Harbor Lights,1960
Billy Bland,51,Let The Little Girl Dance,1960
Jeanne Black,52,He'll Have to Stay,1960
Ferrante and Teicher,53,"Theme from ""The Apartment""",1960
Bobby Rydell,54,Volare,1960
Jimmy Charles,55,A Million to One,1960
Andy Williams,56,The Village of St. Bernadette,1960
Bill Black's Combo,57,White Silver Sands,1960
The Browns,58,The Old Lamplighter,1960
Bobby Vee,59,Devil or Angel,1960
The Four Preps,60,Down By the Station,1960
The Little Dippers,61,Forever,1960
Safaris and The Phantom's Band,62,Image Of A Girl,1960
Brook Benton,63,Kiddio,1960
Donnie Brooks,64,Mission Bell,1960
Marv Johnson,65,I Love The Way You Love,1960
Paul Anka,66,It's Time To Cry,1960
Ray Peterson,67,Tell Laura I Love Her,1960
Connie Francis,68,Mama,1960
Steve Lawrence,69,Footsteps,1960
Everly Brothers,70,So Sad (To Watch Good Love Go Bad),1960
Brenda Lee,71,That's All You Gotta Do,1960
Fats Domino,72,Walking to New Orleans,1960
Connie Francis,73,Among My Souvenirs,1960
Bobby Rydell,74,Swingin' School,1960
Brook Benton and Dinah Washington,75,A Rockin' Good Way (To Mess Around and Fall in Love),1960
Neil Sedaka,76,Stairway to Heaven,1960
Paul Anka,77,My Home Town,1960
Ray Charles,78,Georgia On My Mind,1960
Skip and Flip,79,Cherry Pie,1960
Sam Cooke,80,(What A) Wonderful World,1960
Spencer Ross,81,Tracy's Theme,1960
Lloyd Price,82,Lady Luck,1960
The Crests,83,Step By Step,1960
Paul Evans,84,Happy,1960
Ricky Nelson,85,Young Emotions,1960
Johnny Burnette,86,Dreamin',1960
Johnny Tillotson,87,Poetry In Motion,1960
Annette Funicello,88,O dio mio,1960
Joe Jones,89,You Talk Too Much,1960
Johnny and The Hurricanes,90,Beatnik Fly,1960
Everly Brothers,91,When Will I Be Loved,1960
Bob Luman,92,Let's Think About Livin',1960
