annualGrammy,awardFor,awardType,category,name
3,Mack The Knife - Ella In Berlin,Work,"Best Vocal Performance Album, Female",Ella Fitzgerald
3,Georgia On My Mind,Individual,"Best Vocal Performance Single Record Or Track, Male",Georgia On My Mind
3,The Genius Of Ray Charles,Individual,"Best Vocal Performance Album, Male",The Genius Of Ray Charles
3,Mr. Lucky,Work,Best Arrangement,Henry Mancini
3,Dance With Basie,Individual,Best Performance By A Band For Dancing,Dance With Basie
3,Mr. Lucky,Work,Best Performance By An Orchestra,Henry Mancini
3,We Got Us,Individual,Best Performance By A Vocal Group (2 To 6),We Got Us
3,Songs Of The Cowboy,Individual,Best Performance By A Chorus (7 Or More Persons),Songs Of The Cowboy
3,West Side Story,Work,Best Jazz Performance Solo Or Small Group,André Previn
3,Blues And The Beat,Work,Best Jazz Performance Large Group,Henry Mancini
3,"Bartók: Music For Strings, Percussion And Celeste",Individual,Best Classical Performance - Orchestra,"Bartók: Music For Strings, Percussion And Celeste"
3,Conversations With The Guitar,Individual,Best Classical Performance - Vocal Or Instrumental - Chamber Music,Conversations With The Guitar
3,Brahms: Piano Concerto No. 2 In B Flat,Individual,Best Classical Performance - Concerto Or Instrumental Soloist,Brahms: Piano Concerto No. 2 In B Flat
3,The Spanish Guitars Of Laurindo Almeida,Individual,Best Classical Performance - Instrumental Soloist Or Duo (Other Than With Orchestral Accompaniment),The Spanish Guitars Of Laurindo Almeida
3,A Program Of Song - Leontyne Price Recital,Individual,Best Classical Performance - Vocal Soloist,A Program Of Song - Leontyne Price Recital
3,Puccini: Turandot,Individual,Best Classical Opera Production,Puccini: Turandot
3,Handel: Messiah,Individual,Best Classical Performance - Choral (Including Oratorio),Handel: Messiah
3,Copland: Orchestral Suite From Tender Land Suite,Individual,Best Contemporary Classical Composition,Copland: Orchestral Suite From Tender Land Suite
3,Exodus,Individual,Best Sound Track Album Or Recording Of Music Score From Motion Picture Or Television,Exodus
3,Can Can,Individual,Best Sound Track Album Or Recording Of Original Cast From A Motion Picture Or Television,Can Can
3,The Sound Of Music,Individual,Best Show Album (Original Cast),The Sound Of Music
3,The Button-Down Mind Strikes Back!,Individual,Best Comedy Performance - Spoken Word,The Button-Down Mind Strikes Back!
3,Jonathan And Darlene Edwards In Paris,Individual,Best Comedy Performance (Musical),Jonathan And Darlene Edwards In Paris
3,FDR Speaks,Individual,Best Performance - Documentary Or Spoken Word (Other Than Comedy),FDR Speaks
3,Georgia On My Mind,Individual,Best Performance By A Pop Single Artist,Georgia On My Mind
3,El Paso,Individual,Best Country & Western Performance,El Paso
3,Let The Good Times Roll,Individual,Best Rhythm & Blues Performance,Let The Good Times Roll
3,Swing Dat Hammer,Individual,Best Performance - Folk,Swing Dat Hammer
3,Let's All Sing With The Chipmunks,Individual,Best Album Created For Children,Let's All Sing With The Chipmunks
3,The Spanish Guitars Of Laurindo Almeida,Individual,Best Engineering Contribution - Classical Recording,The Spanish Guitars Of Laurindo Almeida
3,Ella Fitzgerald Sings The George And Ira Gershwin Songbook,Individual,Best Engineering Contribution - Popular Recording,Ella Fitzgerald Sings The George And Ira Gershwin Songbook
3,The Old Payola Roll Blues,Individual,Best Engineering Contribution - Novelty Recording,The Old Payola Roll Blues
3,Latin A La Lee,Individual,Best Album Cover,Latin A La Lee
3,Bob Newhart,Individual,Best New Artist Of 1960,Bob Newhart
3,Sketches Of Spain,Individual,Best Jazz Composition Of More Than Five Minutes Duration,Sketches Of Spain
4,Moon River,Work,Record Of The Year,Henry Mancini
4,Judy At Carnegie Hall,Individual,Album Of The Year (Other Than Classical),Judy At Carnegie Hall
4,Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka,Individual,Album Of The Year - Classical,Stravinsky Conducts 1960: Le Sacre Du Printemps; Petrouchka
4,Moon River,Work,Song Of The Year,Henry Mancini
4,African Waltz,Individual,Best Instrumental Theme Or Instrumental Version Of Song,African Waltz
4,Judy At Carnegie Hall,Individual,"Best Solo Vocal Performance, Female",Judy At Carnegie Hall
