annualGrammy,awardFor,awardType,category,name
13,Stravinsky: Le Sacre Du Printemps,Work,"Best Classical Performance, Orchestra",Pierre Boulez
13,Brahms: Double Concerto (Concerto In A Minor For Violin And Cello),Individual,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),Brahms: Double Concerto (Concerto In A Minor For Violin And Cello)
13,Beethoven: The Complete Piano Trios,Individual,Best Chamber Music Performance,Beethoven: The Complete Piano Trios
13,Berlioz: Les Troyens,Individual,Best Opera Recording,Berlioz: Les Troyens
13,Schubert: Lieder,Individual,Best Classical Vocal Soloist Performance,Schubert: Lieder
13,Ives: New Music Of Charles Ives,Individual,Best Choral Performance (Other Than Opera),Ives: New Music Of Charles Ives
13,Stravinsky: Le Sacre Du Printemps,Individual,"Best Engineered Recording, Classical",Stravinsky: Le Sacre Du Printemps
14,It's Too Late,Work,Record Of The Year,Carole King
14,Tapestry,Work,Album Of The Year,Carole King
14,You've Got A Friend,Work,Song Of The Year,Carole King
14,Carly Simon,Individual,Best New Artist Of The Year,Carly Simon
14,Theme From Shaft,Individual,Best Instrumental Arrangement,Theme From Shaft
14,Uncle Albert/Admiral Halsey,Work,Best Arrangement Accompanying Vocalist(s),Paul
14,Theme From Shaft,Individual,Best Engineered Recording - Non-Classical,Theme From Shaft
14,Pollution,Individual,Best Album Cover,Pollution
14,"Sam, Hard And Heavy",Individual,Best Album Notes,"Sam, Hard And Heavy"
14,Tapestry,Work,"Best Pop Vocal Performance, Female",Carole King
14,You've Got A Friend,Work,"Best Pop Vocal Performance, Male",James Taylor
14,Carpenters,Individual,Best Pop Vocal Performance By A Duo Or Group,Carpenters
14,Smackwater Jack,Work,Best Pop Instrumental Performance,Quincy Jones
14,Bridge Over Troubled Water,Work,"Best R&B Vocal Performance, Female",Aretha Franklin
14,A Natural Man,Individual,"Best R&B Vocal Performance, Male",A Natural Man
14,Proud Mary,Individual,Best R&B Vocal Performance By A Group,Proud Mary
14,Ain't No Sunshine,Individual,Best Rhythm & Blues Song,Ain't No Sunshine
14,Put Your Hand In The Hand Of The Man From Galilee,Work,Best Soul Gospel Performance,Shirley Caesar
14,Help Me Make It Through The Night,Individual,"Best Country Vocal Performance, Female",Help Me Make It Through The Night
14,"When You're Hot, You're Hot",Individual,"Best Country Vocal Performance, Male","When You're Hot, You're Hot"
14,After The Fire Is Gone,Work,Best Country Vocal Performance By A Duo Or Group,Loretta Lynn
14,Snowbird,Individual,Best Country Instrumental Performance,Snowbird
14,Help Me Make It Through The Night,Individual,Best Country Song,Help Me Make It Through The Night
14,Did You Think To Pray,Individual,Best Sacred Performance,Did You Think To Pray
14,Let Me Live,Individual,Best Gospel Performance (Other Than Soul Gospel),Let Me Live
14,They Call Me Muddy Waters,Individual,Best Ethnic Or Traditional Recording,They Call Me Muddy Waters
14,Theme From Summer Of '42,Individual,Best Instrumental Composition,Theme From Summer Of '42
14,Shaft,Individual,Best Original Score Written For A Motion Picture Or A Television Special,Shaft
14,Godspell,Individual,Best Score From An Original Cast Show Album,Godspell
14,Bill Cosby Talks To Kids About Drugs,Individual,Best Recording For Children,Bill Cosby Talks To Kids About Drugs
14,This Is A Recording,Individual,Best Comedy Recording,This Is A Recording
14,Desiderata,Individual,Best Spoken Word Recording,Desiderata
14,The Bill Evans Album,Individual,Best Jazz Performance By A Soloist,The Bill Evans Album
14,The Bill Evans Album,Individual,Best Jazz Performance By A Group,The Bill Evans Album
14,New Orleans Suite,Work,Best Jazz Performance By A Big Band,Duke Ellington
14,Horowitz Plays Rachmaninoff (Etudes-Tableaux Piano Music; Sonatas),Work,"Album Of The Year, Classical",Vladimir Horowitz
14,Mahler: Symphony No. 1 In D,Individual,Best Classical Performance - Orchestra,Mahler: Symphony No. 1 In D
14,Villa-Lobos: Concerto For Guitar,Individual,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Villa-Lobos: Concerto For Guitar
14,Horowitz Plays Rachmaninoff (Etudes-Tableaux Piano Music; Sonatas),Work,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Vladimir Horowitz
14,Debussy: Quartet In G Minor/Ravel: Quartet In F,Individual,Best Chamber Music Performance,Debussy: Quartet In G Minor/Ravel: Quartet In F
14,Verdi: Aida,Individual,Best Opera Recording,Verdi: Aida
14,Leontyne Price Sings Robert Schumann,Individual,Best Classical Vocal Soloist Performance,Leontyne Price Sings Robert Schumann
14,Berlioz: Requiem,Individual,Best Choral Performance - Classical,Berlioz: Requiem
14,Berlioz: Requiem,Individual,"Best Engineered Recording, Classical",Berlioz: Requiem
15,The First Time Ever I Saw Your Face,Individual,Record Of The Year,The First Time Ever I Saw Your Face
15,The Concert For Bangla Desh,Work,Album Of The Year,George Harrison
15,The First Time Ever I Saw Your Face,Individual,Song Of The Year,The First Time Ever I Saw Your Face
15,America,Individual,Best New Artist Of The Year,America
15,Theme From The French Connection,Individual,Best Instrumental Arrangement,Theme From The French Connection
15,What Are You Doing The Rest Of Your Life?,Individual,Best Arrangement Accompanying Vocalist(s),What Are You Doing The Rest Of Your Life?
15,Moods,Individual,Best Engineered Recording - Non-Classical,Moods
15,The Siegel-Schwall Band,Individual,Best Album Cover,The Siegel-Schwall Band
15,Tom T. Hall's Greatest Hits,Individual,Best Album Notes,Tom T. Hall's Greatest Hits
15,Vaughan Williams: Symphony No. 2 (A London Symphony),Individual,Best Album Notes (Classical),Vaughan Williams: Symphony No. 2 (A London Symphony)
15,Alone At Last,Individual,Best Jazz Performance By A Soloist,Alone At Last
15,First Light,Individual,Best Jazz Performance By A Group,First Light
15,Toga Brava Suite,Work,Best Jazz Performance By A Big Band,Duke Ellington
15,I Am Woman,Individual,"Best Pop Vocal Performance, Female",I Am Woman
15,Without You,Individual,"Best Pop Vocal Performance, Male",Without You
15,Where Is The Love,Individual,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Where Is The Love
15,Outa-Space,Individual,Best Pop Instrumental Performance By An Instrumental Performer,Outa-Space
15,Black Moses,Individual,"Best Pop Instrumental Performance By An Arranger, Composer, Orchestra And/Or Choral Leader",Black Moses
15,"Young, Gifted And Black",Work,"Best R&B Vocal Performance, Female",Aretha Franklin
15,Me And Mrs. Jones,Individual,"Best R&B Vocal Performance, Male",Me And Mrs. Jones
15,Papa Was A Rollin' Stone,Individual,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Papa Was A Rollin' Stone
15,Papa Was A Rollin' Stone,Individual,Best R&B Instrumental Performance,Papa Was A Rollin' Stone
15,Papa Was A Rollin' Stone,Individual,Best Rhythm & Blues Song,Papa Was A Rollin' Stone
15,Amazing Grace,Work,Best Soul Gospel Performance,Aretha Franklin
15,Happiest Girl In The Whole USA,Individual,"Best Country Vocal Performance, Female",Happiest Girl In The Whole USA
15,Charley Pride Sings Heart Songs,Individual,"Best Country Vocal Performance, Male",Charley Pride Sings Heart Songs
15,Class Of '57,Individual,Best Country Vocal Performance By A Duo Or Group,Class Of '57
15,Charlie McCoy/The Real McCoy,Individual,Best Country Instrumental Performance,Charlie McCoy/The Real McCoy
15,Kiss An Angel Good Mornin',Individual,Best Country Song,Kiss An Angel Good Mornin'
15,He Touched Me,Individual,Best Inspirational Performance,He Touched Me
15,L-O-V-E,Individual,Best Gospel Performance (Other Than Soul Gospel),L-O-V-E
15,The London Muddy Waters Session,Individual,Best Ethnic Or Traditional Recording (Including Traditional Blues),The London Muddy Waters Session
15,The Electric Company,Individual,Best Recording For Children,The Electric Company
15,FM And AM,Individual,Best Comedy Recording,FM And AM
15,Lenny,Individual,Best Spoken Word Recording,Lenny
15,Brian's Song,Individual,Best Instrumental Composition,Brian's Song
15,The Godfather,Individual,Best Original Score Written For A Motion Picture Or A Television Special,The Godfather
15,"Don't Bother Me, I Can't Cope",Individual,Best Score From An Original Cast Show Album,"Don't Bother Me, I Can't Cope"
15,Mahler: Symphony No. 8 In E Flat (Symphony Of A Thousand),Work,Best Classical Album,Georg Solti
15,Mahler: Symphony No. 7 In E Minor,Work,Best Classical Performance - Orchestra,Georg Solti
15,Berlioz: Benvenuto Cellini,Individual,Best Opera Recording,Berlioz: Benvenuto Cellini
15,Mahler: Symphony No. 8 In E Flat (Symphony Of A Thousand),Work,"Best Choral Performance, Classical (Other Than Opera)",Georg Solti
15,"Julian And John (Works By Lawes, Carulli, Albeniz, Granados)",Individual,Best Chamber Music Performance,"Julian And John (Works By Lawes, Carulli, Albeniz, Granados)"
15,Brahms: Piano Concerto No. 2 In B Flat,Individual,Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),Brahms: Piano Concerto No. 2 In B Flat
15,Horowitz Plays Chopin,Work,Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),Vladimir Horowitz
15,Brahms: Die Schone Magelone,Individual,Best Classical Vocal Soloist Performance,Brahms: Die Schone Magelone
15,Mahler: Symphony No. 8 (Symphony Of A Thousand),Individual,Best Engineered Recording (Classical),Mahler: Symphony No. 8 (Symphony Of A Thousand)
16,Killing Me Softly With His Song,Individual,Record Of The Year,Killing Me Softly With His Song
16,Innervisions,Work,Album Of The Year,Stevie Wonder
16,Killing Me Softly With His Song,Individual,Song Of The Year,Killing Me Softly With His Song
16,Bette Midler,Individual,Best New Artist,Bette Midler
16,Summer In The City,Work,Best Instrumental Arrangement,Quincy Jones
16,Live And Let Die,Individual,Best Arrangement Accompanying Vocalist(s),Live And Let Die
16,Innervisions,Individual,Best Engineered Recording - Non-Classical,Innervisions
16,Tommy,Individual,Best Album Package,Tommy
16,God Is In The House,Individual,Best Album Notes,God Is In The House
16,Hindemith: Sonatas For Piano,Individual,Best Album Notes - Classical,Hindemith: Sonatas For Piano
16,God Is In The House,Individual,Best Jazz Performance By A Soloist,God Is In The House
16,Supersax Plays Bird,Individual,Best Jazz Performance By A Group,Supersax Plays Bird
16,Giant Steps,Individual,Best Jazz Performance By A Big Band,Giant Steps
16,Killing Me Softly With His Song,Individual,"Best Pop Vocal Performance, Female",Killing Me Softly With His Song
16,You Are The Sunshine Of My Life,Work,"Best Pop Vocal Performance, Male",Stevie Wonder
16,Neither One Of Us (Wants To Be The First To Say Goodbye),Individual,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Neither One Of Us (Wants To Be The First To Say Goodbye)
16,Also Sprach Zarathustra (2001),Individual,Best Pop Instrumental Performance,Also Sprach Zarathustra (2001)
16,Master Of Eyes,Work,"Best R&B Vocal Performance, Female",Aretha Franklin
16,Superstition,Work,"Best R&B Vocal Performance, Male",Stevie Wonder
16,Midnight Train To Georgia,Individual,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Midnight Train To Georgia
16,Hang On Sloopy,Individual,Best R&B Instrumental Performance,Hang On Sloopy
16,Superstition,Work,Best Rhythm & Blues Song,Stevie Wonder
16,Loves Me Like A Rock,Individual,Best Soul Gospel Performance,Loves Me Like A Rock
16,Let Me Be There,Individual,"Best Country Vocal Performance, Female",Let Me Be There
16,Behind Closed Doors,Individual,"Best Country Vocal Performance, Male",Behind Closed Doors
16,From The Bottle To The Bottom,Individual,Best Country Vocal Performance By A Duo Or Group,From The Bottle To The Bottom
16,Dueling Banjos,Individual,Best Country Instrumental Performance,Dueling Banjos
16,Behind Closed Doors,Individual,Best Country Song,Behind Closed Doors
16,Let's Just Praise The Lord,Individual,Best Inspirational Performance,Let's Just Praise The Lord
16,Release Me (From My Sin),Individual,Best Gospel Performance (Other Than Soul Gospel),Release Me (From My Sin)
16,Then And Now,Individual,Best Ethnic Or Traditional Recording (Including Traditional Blues),Then And Now
16,Sesame Street Live,Individual,Best Recording For Children,Sesame Street Live
16,Los Cochinos,Individual,Best Comedy Recording,Los Cochinos
16,Jonathan Livingston Seagull,Individual,Best Spoken Word Recording,Jonathan Livingston Seagull
16,Last Tango In Paris,Individual,Best Instrumental Composition,Last Tango In Paris
16,Jonathan Livingston Seagull,Individual,Album Of Best Original Score Written For A Motion Picture Or A Television Special,Jonathan Livingston Seagull
16,A Little Night Music,Individual,Best Score From The Original Cast Show Album,A Little Night Music
16,Bartók: Concerto For Orchestra,Work,"Album Of The Year, Classical",Pierre Boulez
16,Bartók: Concerto For Orchestra,Work,Best Classical Performance - Orchestra,Pierre Boulez
16,Bizet: Carmen,Individual,Best Opera Recording,Bizet: Carmen
16,Walton: Belshazzer's Feast,Work,"Best Choral Performance, Classical (Other Than Opera)",André Previn
16,Joplin: The Red Back Book,Individual,Best Chamber Music Performance,Joplin: The Red Back Book
16,Beethoven: Concerti (5) For Piano And Orchestra,Individual,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Beethoven: Concerti (5) For Piano And Orchestra
16,Scriabin: Horowitz Plays Scriabin,Work,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Vladimir Horowitz
16,Puccini: Heroines,Individual,Best Classical Vocal Soloist Performance,Puccini: Heroines
16,Bartók: Concerto For Orchestra,Individual,Best Engineered Recording - Classical,Bartók: Concerto For Orchestra
17,I Honestly Love You,Individual,Record Of The Year,I Honestly Love You
17,Fulfillingness' First Finale,Work,Album Of The Year,Stevie Wonder
17,The Way We Were,Individual,Song Of The Year,The Way We Were
17,Marvin Hamlisch,Individual,Best New Artist Of The Year,Marvin Hamlisch
17,Threshold,Individual,Best Instrumental Arrangement,Threshold
17,Down To You,Individual,Best Arrangement Accompanying Vocalists,Down To You
17,Band On The Run,Work,Best Engineered Recording - Non-Classical,Paul McCartney
17,Come And Gone,Individual,Best Album Package,Come And Gone
17,For The Last Time,Individual,Best Album Notes,For The Last Time
17,Korngold: The Classic Erich Wolfgang Korngold,Individual,Best Album Notes - Classical,Korngold: The Classic Erich Wolfgang Korngold
17,Thom Bell,Individual,Best Producer Of The Year,Thom Bell
17,First Recordings!,Individual,Best Jazz Performance By A Soloist,First Recordings!
17,The Trio,Individual,Best Jazz Performance By A Group,The Trio
17,Thundering Herd,Individual,Best Jazz Performance By A Big Band,Thundering Herd
17,I Honestly Love You,Individual,"Best Pop Vocal Performance, Female",I Honestly Love You
17,Fulfillingness' First Finale,Work,"Best Pop Vocal Performance, Male",Stevie Wonder
17,Band On The Run,Work,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Paul McCartney
17,The Entertainer,Individual,Best Pop Instrumental Performance,The Entertainer
17,Ain't Nothing Like The Real Thing,Work,"Best R&B Vocal Performance, Female",Aretha Franklin
17,Boogie On Reggae Woman,Work,"Best R&B Vocal Performance, Male",Stevie Wonder
17,Tell Me Something Good,Individual,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Tell Me Something Good
17,The Sound Of Philadelphia,Individual,Best R&B Instrumental Performance,The Sound Of Philadelphia
17,Living For The City,Work,Best Rhythm & Blues Song,Stevie Wonder
17,In The Ghetto,Individual,Best Soul Gospel Performance,In The Ghetto
17,Love Song,Individual,"Best Country Vocal Performance, Female",Love Song
17,Please Don't Tell Me How The Story Ends,Individual,"Best Country Vocal Performance, Male",Please Don't Tell Me How The Story Ends
17,Fairytale,Individual,Best Country Vocal Performance By A Duo Or Group,Fairytale
17,The Atkins-Travis Traveling Show,Individual,Best Country Instrumental Performance,The Atkins-Travis Traveling Show
17,A Very Special Love Song,Individual,Best Country Song,A Very Special Love Song
17,How Great Thou Art,Individual,Best Inspirational Performance (Non-Classical),How Great Thou Art
17,The Baptism Of Jesse Taylor,Individual,Best Gospel Performance (Other Than Soul Gospel),The Baptism Of Jesse Taylor
17,Two Days In November,Individual,Best Ethnic Or Traditional Recording,Two Days In November
17,Winnie The Pooh And Tigger Too,Individual,Best Recording For Children,Winnie The Pooh And Tigger Too
17,That Nigger's Crazy,Individual,Best Comedy Recording,That Nigger's Crazy
17,Good Evening,Individual,Best Spoken Word Recording,Good Evening
17,Tubular Bells - Theme From The Exorcist,Individual,Best Instrumental Composition,Tubular Bells - Theme From The Exorcist
17,The Way We Were,Individual,Album Of Best Original Score Written For A Motion Picture Or A Television Special,The Way We Were
17,Raisin,Individual,Best Score From The Original Cast Show Album,Raisin
17,Berlioz: Symphonie Fantastique,Work,"Album Of The Year, Classical",Georg Solti
17,Berlioz: Symphonie Fantastique,Work,Best Classical Performance - Orchestra,Georg Solti
17,Puccini: La Boheme,Work,Best Opera Recording,Georg Solti
17,Berlioz: The Damnation Of Faust,Individual,"Best Choral Performance, Classical (Other Than Opera)",Berlioz: The Damnation Of Faust
17,Brahms: Trios (Complete)/Schumann: Trio No. 1 In D Minor,Individual,Best Chamber Music Performance,Brahms: Trios (Complete)/Schumann: Trio No. 1 In D Minor
17,Shostakovich: Violin Concerto No. 1,Individual,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Shostakovich: Violin Concerto No. 1
17,Albeniz: Iberia,Individual,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Albeniz: Iberia
17,Leontyne Price Sings Richard Strauss,Individual,Best Classical Vocal Soloist Performance,Leontyne Price Sings Richard Strauss
17,Berlioz: Symphonie Fantastique,Individual,Best Engineered Recording - Classical,Berlioz: Symphonie Fantastique
18,Love Will Keep Us Together,Individual,Record Of The Year,Love Will Keep Us Together
18,Still Crazy After All These Years,Work,Album Of The Year,Paul Simon
18,Send In The Clowns,Individual,Song Of The Year,Send In The Clowns
18,Natalie Cole,Individual,Best New Artist Of The Year,Natalie Cole
18,The Rockford Files,Individual,Best Instrumental Arrangement,The Rockford Files
18,Misty,Individual,Best Arrangement Accompanying Vocalist(s),Misty
18,Between The Lines,Individual,Best Engineered Recording - Non-Classical,Between The Lines
18,Honey,Individual,Best Album Package,Honey
18,Blood On The Tracks,Individual,Best Album Notes,Blood On The Tracks
18,Footlifters,Individual,"Best Album Notes, Classical",Footlifters
18,Arif Mardin,Individual,Best Producer Of The Year,Arif Mardin
18,Oscar Peterson And Dizzy Gillespie,Individual,Best Jazz Performance By A Soloist,Oscar Peterson And Dizzy Gillespie
18,No Mystery,Work,Best Jazz Performance By A Group,Chick Corea
18,Images,Individual,Best Jazz Performance By A Big Band,Images
18,At Seventeen,Work,"Best Pop Vocal Performance, Female",Janis Ian
18,Still Crazy After All These Years,Work,"Best Pop Vocal Performance, Male",Paul Simon
18,Lyin' Eyes,Work,"Best Pop Vocal Performance By A Duo, Group Or Chorus",Eagles
18,The Hustle,Individual,Best Pop Instrumental Performance,The Hustle
18,This Will Be,Individual,"Best R&B Vocal Performance, Female",This Will Be
18,Living For The City,Individual,"Best R&B Vocal Performance, Male",Living For The City
18,Shining Star,Individual,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Shining Star
18,"Fly, Robin, Fly",Individual,Best R&B Instrumental Performance,"Fly, Robin, Fly"
18,Where Is The Love,Individual,Best Rhythm & Blues Song,Where Is The Love
18,Take Me Back,Individual,Best Soul Gospel Performance,Take Me Back
18,I Can't Help It (If I'm Still In Love With You),Individual,"Best Country Vocal Performance, Female",I Can't Help It (If I'm Still In Love With You)
18,Blue Eyes Crying In The Rain,Work,"Best Country Vocal Performance, Male",Willie Nelson
18,Lover Please,Individual,Best Country Vocal Performance By A Duo Or Group,Lover Please
18,The Entertainer,Individual,Best Country Instrumental Performance,The Entertainer
18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,Individual,Best Country Song,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
18,"Jesus, We Just Want To Thank You",Individual,Best Inspirational Performance,"Jesus, We Just Want To Thank You"
18,No Shortage,Individual,Best Gospel Performance (Other Than Soul Gospel),No Shortage
18,The Muddy Waters Woodstock Album,Individual,Best Ethnic Or Traditional Recording,The Muddy Waters Woodstock Album
18,Sun Of Latin Music,Individual,Best Latin Recording,Sun Of Latin Music
18,The Little Prince,Individual,Best Recording For Children,The Little Prince
18,Is It Something I Said?,Individual,Best Comedy Recording,Is It Something I Said?
18,Give 'Em Hell Harry,Individual,Best Spoken Word Recording,Give 'Em Hell Harry
18,Images,Individual,Best Instrumental Composition,Images
18,Jaws,Work,Album Of Best Original Score Written For A Motion Picture Or A Television Special,John Williams
18,The Wiz,Individual,Best Cast Show Album,The Wiz
18,Beethoven: Symphonies (9) Complete,Work,"Album Of The Year, Classical",Georg Solti
18,Ravel: Daphnis Et Chloe (Complete Ballet),Work,Best Classical Performance - Orchestra,Pierre Boulez
18,Mozart: Cosi Fan Tutte,Individual,Best Opera Recording,Mozart: Cosi Fan Tutte
18,Orff: Carmina Burana,Individual,"Best Choral Performance, Classical (Other Than Opera)",Orff: Carmina Burana
18,"Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)",Individual,Best Chamber Music Performance,"Schubert: Trios Nos. 1 In B Flat, Op. 99 And 2 In E Flat, Op. 100 (Piano Trios)"
18,Ravel: Concerto For Left Hand And Concerto For Piano In G/Faure: Fantaisie For Piano And Orchestra,Individual,Best Classical Performance Instrumental Soloist Or Soloists (With Orchestra),Ravel: Concerto For Left Hand And Concerto For Piano In G/Faure: Fantaisie For Piano And Orchestra
18,Bach: Sonatas And Partitas For Violin Unaccompanied,Individual,Best Classical Performance Instrumental Soloist Or Soloists (Without Orchestra),Bach: Sonatas And Partitas For Violin Unaccompanied
18,Mahler: Kindertotenlieder,Individual,Best Classical Vocal Soloist Performance,Mahler: Kindertotenlieder
18,Ravel: Daphnis Et Chloe (Complete Ballet),Individual,"Best Engineered Recording, Classical",Ravel: Daphnis Et Chloe (Complete Ballet)
19,This Masquerade,Individual,Record Of The Year,This Masquerade
19,Songs In The Key Of Life,Work,Album Of The Year,Stevie Wonder
19,I Write The Songs,Individual,Song Of The Year,I Write The Songs
19,Starland Vocal Band,Individual,Best New Artist Of The Year,Starland Vocal Band
19,Leprechaun's Dream,Work,Best Instrumental Arrangement,Chick Corea
19,If You Leave Me Now,Individual,Best Arrangement Accompanying Vocalist(s),If You Leave Me Now
19,Afternoon Delight,Individual,"Best Arrangement For Voices (Duo, Group Or Chorus)",Afternoon Delight
19,Breezin',Individual,Best Engineered Recording - Non-Classical,Breezin'
19,Chicago X,Individual,Best Album Package,Chicago X
19,The Changing Face Of Harlem - The Savoy Sessions,Individual,Best Album Notes,The Changing Face Of Harlem - The Savoy Sessions
19,Stevie Wonder,Work,Best Producer Of The Year,Stevie Wonder
19,Fitzgerald And Pass...Again,Work,Best Jazz Vocal Performance,Ella Fitzgerald
19,Basie And Zoot,Individual,Best Jazz Performance By A Soloist (Instrumental),Basie And Zoot
19,The Leprechaun,Work,Best Jazz Performance By A Group,Chick Corea
19,The Ellington Suites,Work,Best Jazz Performance By A Big Band,Duke Ellington
19,Hasten Down The Wind,Individual,"Best Pop Vocal Performance, Female",Hasten Down The Wind
19,Songs In The Key Of Life,Work,"Best Pop Vocal Performance, Male",Stevie Wonder
19,If You Leave Me Now,Individual,"Best Pop Vocal Performance By A Duo, Group Or Chorus",If You Leave Me Now
19,Breezin',Individual,Best Pop Instrumental Performance,Breezin'
19,Sophisticated Lady (She's A Different Lady),Individual,"Best R&B Vocal Performance, Female",Sophisticated Lady (She's A Different Lady)
19,I Wish,Work,"Best R&B Vocal Performance, Male",Stevie Wonder
19,You Don't Have To Be A Star (To Be In My Show),Individual,"Best R&B Vocal Performance By A Duo, Group Or Chorus",You Don't Have To Be A Star (To Be In My Show)
19,Theme From Good King Bad,Individual,Best R&B Instrumental Performance,Theme From Good King Bad
19,Lowdown,Individual,Best Rhythm & Blues Song,Lowdown
19,How I Got Over,Individual,Best Soul Gospel Performance,How I Got Over
19,Elite Hotel,Work,"Best Country Vocal Performance, Female",Emmylou Harris
19,(I'm A) Stand By My Woman Man,Individual,"Best Country Vocal Performance, Male",(I'm A) Stand By My Woman Man
19,The End Is Not In Sight (The Cowboy Tune),Individual,Best Country Vocal Performance By A Duo Or Group,The End Is Not In Sight (The Cowboy Tune)
19,Chester And Lester,Individual,Best Country Instrumental Performance,Chester And Lester
19,Broken Lady,Individual,Best Country Song,Broken Lady
19,"The Astonishing, Outrageous, Amazing, Incredible, Unbelievable, Different World of Gary S. Paxton",Individual,Best Inspirational Performance,"The Astonishing, Outrageous, Amazing, Incredible, Unbelievable, Different World of Gary S. Paxton"
19,Where The Soul Never Dies,Individual,Best Gospel Performance (Other Than Soul Gospel),Where The Soul Never Dies
19,Mark Twang,Individual,Best Ethnic Or Traditional Recording,Mark Twang
19,Unfinished Masterpiece,Individual,Best Latin Recording,Unfinished Masterpiece
19,Prokofiev: Peter And The Wolf/Saint-Saens: Carnival Of The Animals,Individual,Best Recording For Children,Prokofiev: Peter And The Wolf/Saint-Saens: Carnival Of The Animals
19,Bicentennial Nigger,Individual,Best Comedy Recording,Bicentennial Nigger
19,Great American Documents,Individual,Best Spoken Word Recording,Great American Documents
19,Bellavia,Individual,Best Instrumental Composition,Bellavia
19,Car Wash,Individual,Album Of Best Original Score Written For A Motion Picture Or Television Special,Car Wash
19,Bubbling Brown Sugar,Individual,Best Cast Show Album,Bubbling Brown Sugar
19,Beethoven: The Five Piano Concertos,Individual,Classical Album Of The Year,Beethoven: The Five Piano Concertos
19,Strauss: Also Sprach Zarathustra,Work,Best Classical Orchestral Performance,Georg Solti
19,Gershwin: Porgy And Bess,Individual,Best Opera Recording,Gershwin: Porgy And Bess
19,Rachmaninoff: The Bells,Work,Best Choral Performance (Other Than Opera),André Previn
19,The Art Of Courtly Love,Individual,Best Chamber Music Performance,The Art Of Courtly Love
19,Beethoven: The Five Piano Concertos,Individual,"Best Classical Performance, Instrumental Soloist Or Soloists (With Orchestra)",Beethoven: The Five Piano Concertos
19,Horowitz Concerts 1975/76,Work,"Best Classical Performance, Instrumental Soloist Or Soloists (Without Orchestra)",Vladimir Horowitz
19,Herbert: Music Of Victor Herbert,Individual,Best Classical Vocal Soloist Performance,Herbert: Music Of Victor Herbert
19,Gershwin: Rhapsody In Blue,Individual,"Best Engineered Recording, Classical",Gershwin: Rhapsody In Blue
20,Hotel California,Work,Record Of The Year,Eagles
20,Rumours,Individual,Album Of The Year,Rumours
20,Love Theme From A Star Is Born (Evergreen),Work,Song Of The Year,Barbra Streisand
20,Debby Boone,Individual,Best New Artist Of The Year,Debby Boone
20,Nadia's Theme (The Young And The Restless),Individual,Best Instrumental Arrangement,Nadia's Theme (The Young And The Restless)
20,Love Theme From A Star Is Born (Evergreen),Individual,Best Arrangement Accompanying Vocalist(s),Love Theme From A Star Is Born (Evergreen)
20,New Kid In Town,Work,Best Arrangement For Voices,Eagles
20,Aja,Individual,Best Engineered Recording - Non-Classical,Aja
20,Simple Dreams,Individual,Best Album Package,Simple Dreams
20,Bing Crosby - A Legendary Performer,Individual,Best Album Notes,Bing Crosby - A Legendary Performer
20,Peter Asher,Individual,Producer Of The Year,Peter Asher
20,Look To The Rainbow,Individual,Best Jazz Vocal Performance,Look To The Rainbow
20,The Giants,Individual,Best Jazz Performance By A Soloist,The Giants
20,The Phil Woods Six - Live From The Showboat,Individual,Best Jazz Performance By A Group,The Phil Woods Six - Live From The Showboat
20,Prime Time,Individual,Best Jazz Performance By A Big Band,Prime Time
20,Love Theme From A Star Is Born (Evergreen),Work,"Best Pop Vocal Performance, Female",Barbra Streisand
20,Handy Man,Work,"Best Pop Vocal Performance, Male",James Taylor
20,How Deep Is Your Love,Individual,Best Pop Vocal Performance By A Group,How Deep Is Your Love
20,Star Wars,Work,Best Pop Instrumental Recording,John Williams
20,Don't Leave Me This Way,Individual,"Best R&B Vocal Performance, Female",Don't Leave Me This Way
20,Unmistakably Lou,Individual,"Best R&B Vocal Performance, Male",Unmistakably Lou
20,Best Of My Love,Individual,"Best R&B Vocal Performance By A Duo, Group Or Chorus",Best Of My Love
20,Q,Individual,Best R&B Instrumental Performance,Q
20,You Make Me Feel Like Dancing,Individual,Best Rhythm & Blues Song,You Make Me Feel Like Dancing
20,Sail On,Individual,"Best Gospel Performance, Contemporary Or Insprirational",Sail On
