Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview,Winner
1999,Alice Deejay,Better Off Alone,https://open.spotify.com/track/48gBfTRel9fajeev7tmLpo,48gBfTRel9fajeev7tmLpo,0.0044,0.6659999999999999,215246.0,0.8540000000000001,0.769,8.0,0.313,-8.442,0.0,0.0565,136.954,4.0,0.748,Better Off Alone (Laidback Luke Remix),https://i.scdn.co/image/c7ab1d9d6d7dcab77273de77a4996f7f4a6e6af8,False,57.0,https://p.scdn.co/mp3-preview/d8584a5491bac67457d04f641071c4c65d76c603?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Destiny's Child,"Bills, Bills, Bills",https://open.spotify.com/track/1Oi2zpmL81Q0yScF1zxaC0,1Oi2zpmL81Q0yScF1zxaC0,0.139,0.845,256027.0,0.5760000000000001,0.0,11.0,0.0764,-5.15,0.0,0.153,127.641,4.0,0.461,The Writing's On The Wall,https://i.scdn.co/image/c0609e6dc026fc527519cf476008f8a7eb52ba1f,False,65.0,https://p.scdn.co/mp3-preview/5947a78d5f8dbf6cd776b9fef4aedda4c406f8ba?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Basement Jaxx,Bingo Bango,https://open.spotify.com/track/2CHMS3AzBb1nyWODwtBc1z,2CHMS3AzBb1nyWODwtBc1z,0.006229999999999999,0.643,192993.0,0.991,0.7,4.0,0.88,-1.903,1.0,0.0865,124.068,4.0,0.649,Bingo Bango (Tom Staar & Kryder Remix),https://i.scdn.co/image/fd9085c136bd98c982ac2d6b8696db5f9824b833,False,58.0,https://p.scdn.co/mp3-preview/b00c200557f9351515f9004655874f779fcb36b9?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Crazy Town,Black Cloud,https://open.spotify.com/track/0SIa8GRLXT0vKov2O45O5V,0SIa8GRLXT0vKov2O45O5V,0.0193,0.6759999999999999,302227.0,0.8390000000000001,2.17e-05,0.0,0.1,-5.093,1.0,0.0297,95.745,4.0,0.552,The Gift Of Game,https://i.scdn.co/image/1ed64355c2251642234fbee9bf3288e706b39b85,False,31.0,https://p.scdn.co/mp3-preview/ba904e7cc2467f360c2641bd55f9ae0b82646494?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Eiffel 65,Blue (Da Ba Dee),https://open.spotify.com/track/2yAVzRiEQooPEJ9SYx11L3,2yAVzRiEQooPEJ9SYx11L3,0.259,0.8220000000000001,283748.0,0.9690000000000001,0.000162,7.0,0.39,-11.470999999999998,0.0,0.0582,128.007,4.0,0.765,Europop,https://i.scdn.co/image/cb804c819e52e576ea544335a8f89059eceb27dd,False,73.0,https://p.scdn.co/mp3-preview/6ee8cf3fc9a09831eb8538a7d696c89b3efb51d4?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Travis,Blue Flashing Light,https://open.spotify.com/track/7APJ5HvtdxIQ7QyynoPxfH,7APJ5HvtdxIQ7QyynoPxfH,0.223,0.191,631027.0,0.00075,7.45e-06,2.0,0.255,-8.843,1.0,0.046,215.252,4.0,0.97,The Man Who,https://i.scdn.co/image/13281e6e9997f91685988eafe77bcaac8deb09f5,False,26.0,https://p.scdn.co/mp3-preview/d1f8af9c3eac8f09ea6d1e235218d85067e5e49f?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Moby,Bodyrock,https://open.spotify.com/track/7BvFrUFV2b9NFJhxqv12g9,7BvFrUFV2b9NFJhxqv12g9,0.0009289999999999999,0.655,216440.0,0.862,0.555,6.0,0.151,-8.082,0.0,0.0445,107.991,4.0,0.355,Play & Play: The B Sides,https://i.scdn.co/image/5c789a8dfac2bfe069536dfe1272578fee9fa089,False,38.0,https://p.scdn.co/mp3-preview/c9f99726db4208fedde0426840520b409ea5e0a7?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Rage Against the Machine,Born As Ghosts,https://open.spotify.com/track/3moeHk8eIajvUEzVocXukf,3moeHk8eIajvUEzVocXukf,0.00042699999999999997,0.41700000000000004,202040.0,0.976,0.000134,9.0,0.107,-6.032,1.0,0.175,90.395,4.0,0.483,The Battle Of Los Angeles,https://i.scdn.co/image/d36b38316f7c9f8c6e3b66305811fe5ae1517b1a,False,45.0,https://p.scdn.co/mp3-preview/25256d63b9c310737beeb0a6837cdbd128ff7853?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Rage Against the Machine,Born Of A Broken Man,https://open.spotify.com/track/2LXPNLSMAauNJfnC58lSqY,2LXPNLSMAauNJfnC58lSqY,0.0538,0.298,280960.0,0.848,0.0015199999999999999,2.0,0.201,-5.947,1.0,0.0727,148.282,4.0,0.19399999999999998,The Battle Of Los Angeles,https://i.scdn.co/image/d36b38316f7c9f8c6e3b66305811fe5ae1517b1a,False,54.0,https://p.scdn.co/mp3-preview/666d8c89a0857b98dc93c494cf0ea216baafb7ee?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Kittie,Brackish,https://open.spotify.com/track/4DYQdBCp5KYObiQVZoqJqr,4DYQdBCp5KYObiQVZoqJqr,0.00035,0.563,187707.0,0.9309999999999999,0.00053,1.0,0.114,-5.986000000000001,1.0,0.0763,142.953,4.0,0.856,Spit,https://i.scdn.co/image/996e9c95673f085e856a1abfeb74e020c5188f90,False,46.0,https://p.scdn.co/mp3-preview/d5cd6a99f31ddbe9cf6507ea852d103727afc762?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Foo Fighters,Breakout,https://open.spotify.com/track/2kh0u2d2YKQ7BCqeLPdHk6,2kh0u2d2YKQ7BCqeLPdHk6,5.18e-05,0.42100000000000004,200800.0,0.938,0.0029100000000000003,11.0,0.124,-4.212,0.0,0.0522,156.79399999999998,4.0,0.42700000000000005,There Is Nothing Left To Lose,https://i.scdn.co/image/90b8179b5a6785a8feaba72b8b634dc6f82aa6f1,False,60.0,https://p.scdn.co/mp3-preview/b7a67d84c2569499efab11f78aa154fd33acaa68?cid=bca78196e824433fbdf88ec18d84825f,0
1999,The White Stripes,Broken Bricks,https://open.spotify.com/track/5iAZIoZRKqcQbFhdkKgzeL,5iAZIoZRKqcQbFhdkKgzeL,0.813,0.182,111040.0,0.997,0.26,7.0,0.128,-1.249,1.0,0.203,174.94099999999997,4.0,0.348,The White Stripes,https://i.scdn.co/image/ba42886df7c3e953a050d847f4228d87b74fc200,False,30.0,https://p.scdn.co/mp3-preview/0a4b40992a97044541e4d1c86c69374347dd526a?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Martin Turner's Wishbone Ash,Broken Down House,https://open.spotify.com/track/4ttYr3Kj1zMQMlOLult7o6,4ttYr3Kj1zMQMlOLult7o6,0.11699999999999999,0.523,265053.0,0.696,0.000509,1.0,0.743,-12.16,0.0,0.0518,82.27,4.0,0.515,The Garden Party – A Celebration of Wishbone Ash Music,https://i.scdn.co/image/a9c9e68136182807c09d150e62a586ba752c20a9,False,1.0,https://p.scdn.co/mp3-preview/a8fe6890ea04ad00f8b6f27cdda74883f8172d23?cid=bca78196e824433fbdf88ec18d84825f,0
1999,Destiny's Child,Bug A Boo,https://open.spotify.com/track/4SOMdd14MtsvtfzsYtmqcR,4SOMdd14MtsvtfzsYtmqcR,0.133,0.726,117936.0,0.255,1.75e-05,11.0,0.0747,-18.137999999999998,1.0,0.596,90.056,4.0,0.445,HOMECOMING: THE LIVE ALBUM,https://i.scdn.co/image/9e01fbd7b68b45f7c88d147d775aac958c22c1b3,False,66.0,https://p.scdn.co/mp3-preview/a0f5100b23ddcfbadd358bd8243969aeecb53c39?cid=bca78196e824433fbdf88ec18d84825f,0
