Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1958,"Robert Preston, Barbara Cook, David Burns, Eddie Hodges, Pert Kelton, Helen Raymond",The Music Man,https://open.spotify.com/track/0SsoCpGsSz32oyQjsvDZFu,0SsoCpGsSz32oyQjsvDZFu,0.81,0.52,164360.0,0.186,5e-05,5.0,0.165,-17.258,0.0,0.045,106.801,4.0,0.447,The Music Man (Original Broadway Cast),https://i.scdn.co/image/88a29ecb8bcf33d3b0264a85f5aeee7f218aeece,False,33.0,
1958,André Previn,Gigi,https://open.spotify.com/track/2Z8UMzOYupxmJkTls0SKYI,2Z8UMzOYupxmJkTls0SKYI,0.972,0.276,147893.0,0.215,0.81,0.0,0.125,-13.797,1.0,0.0297,172.686,4.0,0.0722,André Previn In Hollywood,https://i.scdn.co/image/65511d496561c77c7a80165ad53cfea660645c70,False,2.0,https://p.scdn.co/mp3-preview/315d4b2bb4d26af6c110b2659779bf886b262234?cid=bca78196e824433fbdf88ec18d84825f
1958,Stan Freberg,The Best Of The Stan Freberg Shows,,,,,,,,,,,,,,,,,,,,
1958,"David Seville And The Chipmunks (Ross Bagdasarian, Sr.)",The Chipmunk Song,https://open.spotify.com/track/02NKMA9cIkq6VuBNu9q9Wf,02NKMA9cIkq6VuBNu9q9Wf,0.707,0.613,141467.0,0.37,2.98e-06,3.0,0.23,-11.548,1.0,0.0344,152.548,3.0,0.777,Christmas With The Chipmunks (2010),https://i.scdn.co/image/487fe327cce1dcb4a24ee2ca3c669c3ac2c54972,False,34.0,
1958,"Felix Slatkin, conductor",Gaiete Parisienne,https://open.spotify.com/track/769qDIxHB0gGaW0PbYnQ1G,769qDIxHB0gGaW0PbYnQ1G,0.719,0.479,115000.0,0.477,0.154,9.0,0.135,-13.588,1.0,0.0423,87.683,4.0,0.847,World Classical Concert,https://i.scdn.co/image/9be3dfbcfc6b94b90fa5dee9306d6da9445e9779,False,20.0,https://p.scdn.co/mp3-preview/e6a076206e102745cc3d32385be10f2e6cfa9d08?cid=bca78196e824433fbdf88ec18d84825f
1958,"Van Cliburn, piano","Tchaikovsky: Piano Concerto No. 1 In B Flat Minor, Op. 23",https://open.spotify.com/track/6CtnSIgHPJpsSN86V3lIrk,6CtnSIgHPJpsSN86V3lIrk,0.95,0.378,204000.0,0.281,0.819,1.0,0.0916,-15.175,1.0,0.0341,122.776,4.0,0.131,50 Best Classics,https://i.scdn.co/image/b2d0f352f1cfb586ab06d10d314b424c4edbc0bf,False,32.0,https://p.scdn.co/mp3-preview/aa906b1fa38cf40ebaaf61b726e434defd06926f?cid=bca78196e824433fbdf88ec18d84825f
1958,"Andres Segovia, guitar",Segovia Golden Jubilee,https://open.spotify.com/track/6Kv5Wh4zu18gKmwTWx523Y,6Kv5Wh4zu18gKmwTWx523Y,0.986,0.571,174933.0,0.212,0.892,4.0,0.107,-18.907,1.0,0.0354,79.348,4.0,0.0918,Golden Jubilee,https://i.scdn.co/image/ed4f9bcd23a052b9c31d1f934d6d5a7ee5027750,False,0.0,https://p.scdn.co/mp3-preview/901a14df25428782559449183faaf4df9cd3ae18?cid=bca78196e824433fbdf88ec18d84825f
1958,Hollywood String Quartet,Beethoven: Quartet 130,https://open.spotify.com/track/7Bg0FIUaa2d1uZcC3D6eqA,7Bg0FIUaa2d1uZcC3D6eqA,0.991,0.569,130160.0,0.0325,0.923,5.0,0.112,-25.613,1.0,0.0547,112.442,3.0,0.414,Perfect Study Companion,https://i.scdn.co/image/fd3efa72ab1d558f9569d0359dcaa2330ef897e6,False,17.0,https://p.scdn.co/mp3-preview/e3092bc102d88cf904aa1a933bf8c159b6fda122?cid=bca78196e824433fbdf88ec18d84825f
1958,"Renata Tebaldi, soprano",Operatic Recital,,,,,,,,,,,,,,,,,,,,
1958,"Roger Wagner, choir director",Virtuoso,https://open.spotify.com/track/6V9vrsNL71eObH7p6GCW74,6V9vrsNL71eObH7p6GCW74,0.0194,0.572,241493.0,0.867,0.684,8.0,0.306,-5.534,0.0,0.0562,77.008,4.0,0.655,Classically Trained,https://i.scdn.co/image/8a0aec457f18ec3b2426aac87441860df00668ff,False,34.0,https://p.scdn.co/mp3-preview/4dbcabd6db4fef8eb1a78e15b1db3f7dc79ae8c3?cid=bca78196e824433fbdf88ec18d84825f
1959,Bobby Darin,Mack The Knife,https://open.spotify.com/track/0YTgZJfVLmJ0b8XAMZKRKg,0YTgZJfVLmJ0b8XAMZKRKg,0.76,0.549,184333.0,0.529,0.0,3.0,0.206,-12.291,0.0,0.108,82.755,4.0,0.464,The Ultimate Bobby Darin,https://i.scdn.co/image/46452be8110d1885a917391230e6d89efdc0069c,False,57.0,https://p.scdn.co/mp3-preview/e8b0f9dfca9fd213711a72271025bcb8014e4a13?cid=bca78196e824433fbdf88ec18d84825f
1959,Frank Sinatra,Come Dance With Me,https://open.spotify.com/track/46Wiqf4yrN7euMb5qf12Hf,46Wiqf4yrN7euMb5qf12Hf,0.365,0.629,151027.0,0.192,0.0,9.0,0.107,-13.163,1.0,0.084,141.457,4.0,0.744,Come Dance With Me! (Remastered),https://i.scdn.co/image/a681133626c90037a3316401da708aca904a0633,False,37.0,
1959,"Jimmy Driftwood, songwriter (Jimmy Driftwood)",The Battle Of New Orleans,https://open.spotify.com/track/1XRA4Tjb2YrcQU5ThDllCw,1XRA4Tjb2YrcQU5ThDllCw,0.803,0.703,152067.0,0.753,0.0,9.0,0.0997,-11.783,1.0,0.135,177.162,4.0,0.921,Johnny Horton - 16 Biggest Hits,https://i.scdn.co/image/71dad258fab522d63c47716bdcfb954d9fdd3a79,False,50.0,https://p.scdn.co/mp3-preview/d96e37c04389f84979393efdad7cd11e97d9ad6b?cid=bca78196e824433fbdf88ec18d84825f
1959,Ella Fitzgerald,But Not For Me,https://open.spotify.com/track/64QtLJjrbxGfO8xQeypj7b,64QtLJjrbxGfO8xQeypj7b,0.92,0.177,214253.0,0.216,0.00449,8.0,0.102,-16.559,1.0,0.036,80.141,4.0,0.162,Ella Fitzgerald Sings The George And Ira Gershwin Song Book,https://i.scdn.co/image/fd468d89aeb09e37b587b69f3b28e222eee37d82,False,31.0,
1959,Duke Ellington,Anatomy Of A Murder,https://open.spotify.com/track/5RnEnO0UF4EQHLv6CwgoNR,5RnEnO0UF4EQHLv6CwgoNR,0.639,0.364,235533.0,0.276,0.131,5.0,0.0876,-15.145,0.0,0.0494,76.557,4.0,0.436,Anatomy of a Murder,https://i.scdn.co/image/54bc4b70b7dd94e5296f255538ed2422b4f5cb5b,False,21.0,https://p.scdn.co/mp3-preview/7f6530b9f0954f1974742c8dc8b599d9da6def44?cid=bca78196e824433fbdf88ec18d84825f
1959,David Rose And His Orchestra With André Previn,Like Young,https://open.spotify.com/track/0uH6JssU7mWkTT9mqeqEvL,0uH6JssU7mWkTT9mqeqEvL,0.156,0.774,220888.0,0.623,0.0,5.0,0.0955,-7.871,1.0,0.245,128.661,5.0,0.393,Hoodie SZN,https://i.scdn.co/image/388171ca9cd00260701aa984ba622d3929c6d389,True,74.0,https://p.scdn.co/mp3-preview/74446c454399e1bd5b95edec39b37cea0c422293?cid=bca78196e824433fbdf88ec18d84825f
1959,(Mormon Tabernacle Choir),Battle Hymn Of The Republic,https://open.spotify.com/track/4X2oOZAf7Rv6PatkhdXefD,4X2oOZAf7Rv6PatkhdXefD,0.871,0.354,278267.0,0.402,4.23e-05,10.0,0.353,-12.138,1.0,0.0532,108.67,4.0,0.176,America The Beautiful,https://i.scdn.co/image/ff93f4d7cdb4c1c613c24b8a288f58080029b5f7,False,1.0,https://p.scdn.co/mp3-preview/652dffe9a00b227c4157084aa31c1fa7ee8863b9?cid=bca78196e824433fbdf88ec18d84825f
1959,Ella Fitzgerald,Ella Swings Lightly,,,,,,,,,,,,,,,,,,,,
1959,Jonah Jones,I Dig Chicks,https://open.spotify.com/track/3y5IwVI3wXCqvfITB9XkqS,3y5IwVI3wXCqvfITB9XkqS,0.428,0.738,127533.0,0.37,1.22e-06,0.0,0.141,-11.906,1.0,0.094,103.681,4.0,0.631,Ultra-Lounge / Tiki Sampler,https://i.scdn.co/image/82a5cab3ba9735261d3387ad812c649f05f4cb3c,False,12.0,
1959,"Charles Munch, conductor",Debussy: Images For Orchestra,https://open.spotify.com/track/2G69tyrce35LMWYyDMMOVv,2G69tyrce35LMWYyDMMOVv,0.972,0.146,477413.0,0.254,0.81,5.0,0.101,-18.784,0.0,0.0461,77.411,4.0,0.0995,DEBUSSY,https://i.scdn.co/image/043021f0bfafcfefea71dce5a161e516e3aac9d8,False,0.0,https://p.scdn.co/mp3-preview/26b816b9cbee2e05f9290a1c09fcb15ede159029?cid=bca78196e824433fbdf88ec18d84825f
1959,"Artur Rubinstein, piano",Beethoven: Sonatas No. 21 In C (Waldstein) And No. 18 In E Flat,,,,,,,,,,,,,,,,,,,,
