Year,Artist,Title,URL,TrackId,Acousticness,Danceability,Duration (ms),Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence,Album,Image,Explicit,Popularity,Preview
1962,Gene Pitney,Town Without Pity,https://open.spotify.com/track/4g4h8NFHaYX29p3RLBdOkd,4g4h8NFHaYX29p3RLBdOkd,0.618,0.499,174147.0,0.535,7.55e-05,7.0,0.065,-6.43,1.0,0.0292,120.364,3.0,0.65,18 All-Time Greatest Hits,https://i.scdn.co/image/a84cd628fc78191ba2bb53b067b7837a6b4e470b,False,39.0,https://p.scdn.co/mp3-preview/428012b4d6e544d0e769b0a91ddaf8692ec62c33?cid=bca78196e824433fbdf88ec18d84825f
1962,"Peter, Paul & Mary",If I Had a Hammer,https://open.spotify.com/track/6R9LiK1WhfnTvFsVfusdQl,6R9LiK1WhfnTvFsVfusdQl,0.326,0.628,121053.0,0.423,0.0,9.0,0.16,-11.231,1.0,0.0365,100.082,4.0,0.353,"The Very Best of Peter, Paul and Mary",https://i.scdn.co/image/f7b2efaf02707d87081688150e29cd55d80db689,False,45.0,https://p.scdn.co/mp3-preview/6a6137ddead6719d7f3b741ea5bcf72b135e3aba?cid=bca78196e824433fbdf88ec18d84825f
1962,lites,I Wish That We Were Married - Ronnie & The Hi,https://open.spotify.com/track/6fQb7K75LrsgfbYzigHVSZ,6fQb7K75LrsgfbYzigHVSZ,0.844,0.521,172067.0,0.422,1.94e-06,11.0,0.201,-8.772,1.0,0.0276,100.954,3.0,0.155,I Wish That We Were Married,https://i.scdn.co/image/89a8cb3ca31ac9a26dd7b3386696183f580de309,False,10.0,https://p.scdn.co/mp3-preview/5b7f216695538e122b7a45612f6c7a2a3e390a66?cid=bca78196e824433fbdf88ec18d84825f
1962,The Beach Boys,Surfin' Safari,https://open.spotify.com/track/4kIYRtgbZyPzAWSFLdlajW,4kIYRtgbZyPzAWSFLdlajW,0.795,0.542,126640.0,0.785,2.3e-05,9.0,0.102,-5.251,1.0,0.0439,158.37,4.0,0.967,Surfin' Safari (Remastered),https://i.scdn.co/image/8aa0bbf4fec6435db6cc1c2a3e451fbee9009ad3,False,49.0,
1963,Jimmy Gilmer and The Fireballs,Sugar Shack,https://open.spotify.com/track/2nLLenueHlqs60IcDn9lan,2nLLenueHlqs60IcDn9lan,0.225,0.792,123693.0,0.804,5.01e-06,7.0,0.065,-7.484,1.0,0.0659,132.852,4.0,0.879,Sugar Shack/Buddy's Buddy,https://i.scdn.co/image/6504da535516f6032234cf4f341d80fc58bde257,False,47.0,https://p.scdn.co/mp3-preview/d0ec9157c8228a225d37aac18e502f9e23585e83?cid=bca78196e824433fbdf88ec18d84825f
1963,The Beach Boys,Surfin' U.S.A.,https://open.spotify.com/track/0wz1LjDb9ZNEYwOmDJ3Q4b,0wz1LjDb9ZNEYwOmDJ3Q4b,0.661,0.55,149373.0,0.854,0.0,3.0,0.112,-5.968,1.0,0.036,159.231,4.0,0.965,Surfin' USA (Remastered),https://i.scdn.co/image/bd5197bf46f05cd470f0b613227edc6ba12fa9aa,False,70.0,
1963,Skeeter Davis,The End of the World,https://open.spotify.com/track/5DTOOkooKFUvWj1XQTFa09,5DTOOkooKFUvWj1XQTFa09,0.936,0.232,157573.0,0.216,4.93e-06,10.0,0.246,-10.674,1.0,0.0314,94.268,3.0,0.432,The Essential Skeeter Davis,https://i.scdn.co/image/3db24fa7427e3c31801a42885179a160c03eaf5e,False,56.0,https://p.scdn.co/mp3-preview/39a63f10fd9e989d7112215dddb5fd5ed7521919?cid=bca78196e824433fbdf88ec18d84825f
1963,The Cascades,Rhythm of the Rain,https://open.spotify.com/track/7GHf8dQ2wA71wYOuRsQCZP,7GHf8dQ2wA71wYOuRsQCZP,0.627,0.659,146360.0,0.66,0.000217,0.0,0.136,-8.337,1.0,0.0441,116.634,4.0,0.672,Rhythm Of The Rain,https://i.scdn.co/image/732f16d0efbb21aa87d241d1a30fdb42df897985,False,58.0,https://p.scdn.co/mp3-preview/f3161f5f6ab07b65c05ce7f4f33c337956a34e46?cid=bca78196e824433fbdf88ec18d84825f
1963,The Chiffons,He's So Fine,https://open.spotify.com/track/0FG7rJMhIpqziTEmKYY8iJ,0FG7rJMhIpqziTEmKYY8iJ,0.27,0.87,116725.0,0.423,0.279,0.0,0.111,-17.677,1.0,0.0305,137.057,4.0,0.982,Royalty Free Music: Mandolin Tunes,https://i.scdn.co/image/de4c5cc8f195770788d24faa96df9fd4091bdbff,False,0.0,https://p.scdn.co/mp3-preview/94035bd528100faa19235c81d7149fffe01667b1?cid=bca78196e824433fbdf88ec18d84825f
1963,Bobby Vinton,Blue Velvet,https://open.spotify.com/track/4QelFzhVgLomeQhvKrwM1S,4QelFzhVgLomeQhvKrwM1S,0.862,0.376,168093.0,0.246,0.0,10.0,0.155,-9.803,1.0,0.0286,80.167,1.0,0.282,The Best Of Bobby Vinton,https://i.scdn.co/image/ead3684db1d0822dad0c15ceaf97e2b94ebfe5b1,False,60.0,https://p.scdn.co/mp3-preview/56c384d7b919fee765811a3bac043c79a69697e8?cid=bca78196e824433fbdf88ec18d84825f
1963,Paul and Paula,Hey Paula,https://open.spotify.com/track/6MpCxTJNdkHIpvQRuID8zU,6MpCxTJNdkHIpvQRuID8zU,0.784,0.506,151067.0,0.258,0.0,7.0,0.0942,-11.822,1.0,0.0293,109.595,3.0,0.544,#1 Radio Hits of the 60's,https://i.scdn.co/image/18ae22b69cb6d79b2fcd7dc8c8d605b3f5a6b590,False,39.0,
1963,Little Stevie Wonder,"Fingertips, Pt. 2",https://open.spotify.com/track/2lBO10Y6uDv25SZRBG6juX,2lBO10Y6uDv25SZRBG6juX,0.57,0.323,191573.0,0.89,0.247,0.0,0.332,-7.179,1.0,0.29,137.08,4.0,0.349,The Definitive Collection,https://i.scdn.co/image/77eb7c17cafe5503fb50ceee322dc3b77e2b50c4,False,31.0,
1963,Village Stompers,Washington Square,https://open.spotify.com/track/2JwLfiU13mnYuiqcqriOLl,2JwLfiU13mnYuiqcqriOLl,0.565,0.801,162333.0,0.301,0.14,4.0,0.214,-12.197,0.0,0.0464,119.916,4.0,0.769,The Original Washington Square,https://i.scdn.co/image/55af5e67a788b6b2da7b2a6b23611a5401927495,False,23.0,https://p.scdn.co/mp3-preview/9ab979c62e8eec500147170cd9a3268695833644?cid=bca78196e824433fbdf88ec18d84825f
1963,The Impressions,It's All Right,https://open.spotify.com/track/0Z7S8ity4SYlkzbJpejd1v,0Z7S8ity4SYlkzbJpejd1v,0.000304,0.316,245880.0,0.748,0.0139,2.0,0.608,-8.187,1.0,0.0413,79.337,4.0,0.256,Paracosm,https://i.scdn.co/image/7b878d124b070b09af63b7f1c7ac8b0397d81984,False,53.0,https://p.scdn.co/mp3-preview/bc2055ec18c0a91d96fb5bdc1a5dc3afe2db1f1e?cid=bca78196e824433fbdf88ec18d84825f
1963,Andy Williams,Can't Get Used to Losing You,,,,,,,,,,,,,,,,,,,,
1963,The Angels,My Boyfriend's Back,https://open.spotify.com/track/5NiFSI8iIDtVm1NCwdYrHS,5NiFSI8iIDtVm1NCwdYrHS,0.691,0.679,136800.0,0.871,0.0,3.0,0.0883,-6.041,1.0,0.159,135.111,4.0,0.964,My Boyfriend's Back,https://i.scdn.co/image/f8fe0669da04f0baaee4e618c22a8efb7910b96d,False,51.0,
1963,Kyu Sakamoto,Sukiyaki,https://open.spotify.com/track/6meIeOX3DHdaCnaNw67abE,6meIeOX3DHdaCnaNw67abE,0.707,0.415,189520.0,0.359,6.53e-05,7.0,0.319,-11.094,1.0,0.0334,146.029,4.0,0.404,Lost Hits Of The 60's (All Original Artists & Versions),https://i.scdn.co/image/42a12772e18d4c7f217869d1e1d89822ef83a3cc,False,48.0,
1963,Lesley Gore,She's a Fool,https://open.spotify.com/track/3Yb7GyUAsZghwRrFZaVYho,3Yb7GyUAsZghwRrFZaVYho,0.002,0.519,201707.0,0.723,0.0,8.0,0.164,-10.207,1.0,0.249,76.089,4.0,0.141,Bloggin Like a Fool,https://i.scdn.co/image/b6f0f7ac4bd79a039b15dc9d311908e6f5b55709,True,18.0,https://p.scdn.co/mp3-preview/a6832d3689d7d248c2924f4ada064e7887aa56ff?cid=bca78196e824433fbdf88ec18d84825f
1963,The Tymes,So Much In Love,https://open.spotify.com/track/6h0LLmMVZY108wNzD5UM6O,6h0LLmMVZY108wNzD5UM6O,0.819,0.538,140467.0,0.484,2.71e-05,4.0,0.414,-10.308,1.0,0.0365,75.656,4.0,0.419,So Much In Love,https://i.scdn.co/image/61f440e4cc36e32ef2b68e56be1ba4ea3877f16e,False,39.0,
1963,"Peter, Paul and Mary","Puff, the Magic Dragon",https://open.spotify.com/track/7raciFPVU5VuHmqVbw2c1h,7raciFPVU5VuHmqVbw2c1h,0.65,0.581,208560.0,0.143,0.0,9.0,0.104,-16.273,1.0,0.0401,144.605,4.0,0.469,"The Very Best of Peter, Paul and Mary",https://i.scdn.co/image/f7b2efaf02707d87081688150e29cd55d80db689,False,52.0,https://p.scdn.co/mp3-preview/8666c862c9a405a6d67ec0c7a0e44d65ba6dfe50?cid=bca78196e824433fbdf88ec18d84825f
1963,"Peter, Paul and Mary",Blowin' In the Wind,https://open.spotify.com/track/62Yu8QL1g9pdbvN4XL9Rah,62Yu8QL1g9pdbvN4XL9Rah,0.834,0.381,177360.0,0.0848,0.0,5.0,0.112,-17.77,1.0,0.032,155.036,4.0,0.557,In The Wind,https://i.scdn.co/image/ba78b914fbe4bf6a9256de637fc3850b826fe800,False,51.0,https://p.scdn.co/mp3-preview/a8009cabc0ac375f5923130eb43cb9efbde21f28?cid=bca78196e824433fbdf88ec18d84825f
1963,Dale and Grace,I'm Leaving It All Up to You,,,,,,,,,,,,,,,,,,,,
